"N.H. kerk","5"
"politieburo warmoesstraat","5"
"De Bijenkorf","5"
"slooppand","5"
"Dubbeltjespanden","5"
"Amsterdam Arena","5"
"Oosterkerk|Oosterkerk","5"
"Kikkerbilsluis","5"
"Houten Huys","5"
"Stedelijk Museum","5"
"Huis Joan Poppen","5"
"Huis De Dolphijn","5"
"Van Brienenhofje","5"
"Willemsbrug","5"
"Sint Nicolaaskerk|Schreierstoren","5"
"Sloterdijkerbrug","5"
"Deli gebouw","5"
"Rasphuis","5"
"Kleine Komedie","5"
"Hofje Van Brienen","5"
"Constantiahofje","5"
"Constantia-Woningen","5"
"Bethlehemkerk","5"
"Hirsch-gebouw","5"
"Van Gendthallen","5"
"Noord-Zuid Hollandsch Koffiehuis","5"
"VOC pakhuizen","5"
"De Gooyer (molen)|Brouwerij 't IJ","5"
"Brug 80","5"
"Huis Saxenburg","5"
"Sint Elisabeth Gesticht","5"
"Het Grill's Hofje","5"
"Lekstraatsynagoge","5"
"Schellingwouderkerk","5"
"Bedrijfsmuseum G.E.B.","5"
"'s Lands Zeemagazijn","4"
"de Kleine Komedie","4"
"N.H. Sloterkerk","4"
"Purmerschool","4"
"N.H. kerk Zunderdorp","4"
"gevelsteen","4"
"Prinses Julianaschool","4"
"Zeven Keurvorstenhofje","4"
"Lau Mazirelbrug","4"
"Petrus en Pauluskerk","4"
"Leidsepoort|Stadsschouwburg","4"
"Prinsessekerk","4"
"pakhuizen","4"
"Nieuw Apostolische kerk","4"
"Westhove","4"
"Bungehuis","4"
"Amstelsluizen|Theater Carré","4"
"Sint Andrieshof","4"
"De Burcht","4"
"Oranje-Nassau Kazerne","4"
"Blauwbrug|Brug 236","4"
"Hofkerk","4"
"Koning Willemshuis","4"
"De Spaanse Gevel","4"
"Oranjekerk","4"
"Academie van Bouwkunst","4"
"Nassaukerk","4"
"Academie voor Bouwkunst","4"
"Venetiahofje","4"
"hoofdpostkantoor","4"
"Brug 41","4"
"Van Brienens hofje","4"
"Jeruzalemkerk","4"
"Koninklijk Instituut voor de Tropen|Tropenmuseum","4"
"Brug 102","4"
"Nederlandsch-Indische Handelsbank","4"
"West-Indisch Pakhuis","4"
"Vondelmonument","4"
"De vier Heemskinderen","4"
"Bantammerbrug","4"
"Diaconieweeshuis der Nederlands Hervormde gemeente","4"
"Westertoren","4"
"Rechthuys","4"
"Hofje de Star","4"
"Twentsche Bank","4"
"Karthuizerhof","4"
"Gemeentelijk Handelsentrepot","4"
